date,country,iso3,confirmed,deaths,death_pos,pos_test,test_wom,test_million_wom,population,idb,population_million,deaths_million
4/16/20,Afghanistan,AFG,840,30,.035714287,,,,37172386,,37.172386,.8070507
4/16/20,Albania,ALB,518,26,.050193049,.10731303,4827,1677,2866376,,2.8663759,9.0706873
4/16/20,Algeria,DZA,2268,348,.15343915,.67520094,3359,77,42228429,,42.228428,8.2408943
4/16/20,Andorra,AND,673,33,.049034175,.40227136,1673,21653,77006,,.077005997,428.53806
4/16/20,Argentina,ARG,2571,115,.044729676,.097176552,26457,585,44494502,1,44.494503,2.584589
4/16/20,Armenia,ARM,1159,18,.01553063,.12032808,9632,3250,2951776,,2.951776,6.0980234
4/16/20,Australia,AUS,6462,63,.0097493036,.017005129,380003,14902,24982688,,24.982689,2.5217462
4/16/20,Austria,AUT,14476,410,.028322741,.088910177,162816,18078,8840521,,8.8405209,46.377357
4/16/20,Azerbaijan,AZE,1283,15,.011691349,.017016592,75397,7436,9939800,,9.9398003,1.5090847
4/16/20,Bangladesh,BGD,1572,60,.038167939,.09245427,17003,103,161356039,,161.35603,.37184849
4/16/20,Belarus,BLR,4204,40,.0095147481,.051744085,81246,8598,9483499,,9.4834986,4.2178526
4/16/20,Belgium,BEL,34809,4857,.13953288,.2591826,134303,11588,11433256,,11.433256,424.81335
4/16/20,Bolivia,BOL,441,29,.065759636,.20183067,2185,187,11353142,1,11.353142,2.554359
4/16/20,Bosnia and Herzegovina,BIH,1167,43,.036846615,.079156213,14743,4494,3323929,,3.3239291,12.936498
4/16/20,Brazil,BRA,30425,1924,.063237466,.48305151,62985,296,209469333,1,209.46933,9.1851158
4/16/20,Bulgaria,BGR,800,38,.047499999,.043238569,18502,2663,7025037,,7.0250368,5.4092245
4/16/20,Burkina Faso,BFA,546,32,.058608059,,,,19751535,,19.751535,1.6201272
4/16/20,Cameroon,CMR,996,22,.022088353,,,,25216237,,25.216236,.87245375
4/16/20,Canada,CAN,30809,1259,.040864684,.06318175,487625,12920,37057765,,37.057766,33.973984
4/16/20,Channel Islands,CHI,457,19,.041575491,.13765061,3320,19095,170499,,.170499,111.43761
4/16/20,Chile,CHL,9246,105,.011356262,.093940504,98424,5149,18729160,1,18.72916,5.6062312
4/16/20,China,CHN,83403,3346,.04011846,,,,1392730000,,1392.73,2.4024758
4/16/20,Colombia,COL,3233,144,.044540673,.062071614,52085,1024,49648685,1,49.648685,2.9003789
4/16/20,Croatia,HRV,1791,35,.019542156,.088848099,20158,4910,4087843,,4.0878429,8.5619726
4/16/20,Cuba,CUB,862,27,.031322505,.039474286,21837,1928,11338138,,11.338138,2.3813434
4/16/20,Cyprus,CYP,735,12,.01632653,.041008759,17923,14845,1189265,,1.189265,10.090265
4/16/20,Czech Republic,CZE,6433,169,.026270792,.044060435,146004,13634,10629928,,10.629928,15.898509
4/16/20,Democratic Republic of Congo,COD,267,22,.082397006,,,,84068091,,84.068092,.26169261
4/16/20,Denmark,DNK,6879,321,.046663757,.083503276,82380,14223,5793636,,5.7936358,55.405621
4/16/20,Dominican Republic,DOM,3755,196,.052197069,.30705699,12229,1127,10627165,1,10.627165,18.4433
4/16/20,Ecuador,ECU,8225,403,.048996959,.29514137,27868,1580,17084357,1,17.084356,23.588831
4/16/20,Egypt,EGY,2673,196,.07332585,.10692,25000,244,98423595,,98.423592,1.9913925
4/16/20,Estonia,EST,1434,36,.025104603,.039806794,36024,27156,1321977,,1.321977,27.231941
4/16/20,Finland,FIN,3369,75,.022261798,.067786723,49700,8970,5515525,,5.5155249,13.59798
