Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0692567825,.0692567825,.1385135651,.1385135651,.1385135651,.1385135651,.1385135651,.1385135651,.1385135651,.1385135651,.1385135651,.1385135651,.3462839425,.3462839425,.3462839425,.3462839425,.3462839425,.3462839425,.3462839425,.3462839425,.3462839425,.3462839425,.3462839425,.6233111024,.6233111024,.6233111024,.6233111024,.6233111024,.83108145,.9003382325,.9003382325,.9003382325,1.177365422,1.246622205,1.246622205,1.246622205,1.246622205,1.246622205,1.246622205,1.731419683,1.731419683,1.731419683,1.731419683,1.93919003,1.93919003,2.008446693,2.008446693,2.008446693,2.008446693,2.008446693,2.146960258,2.285474062,2.285474062,2.354730844,3.185812235,3.185812235,3.393582582,3.532096148,3.532096148,3.739866495,3.739866495,3.739866495,4.293920517,4.363177299,4.363177299,4.363177299,4.363177299,4.432434082,4.432434082,4.432434082,8.518584251,8.864868164,9.349666595,9.834464073,9.834464073,10.5270319,11.21959972,11.49662685,11.98142433,12.18919468,12.53547859,12.53547859,13.64358711,13.92061424,14.26689816,14.26689816,22.16217232,22.16217232,22.71622658,23.75507736,23.75507736,27.35643005,29.43413353,30.33447266,30.40372849,32.68920135,32.68920135,33.79730988,35.320961,35.320961,35.59798813,35.87501526,35.87501526,37.53717804,41.83110046,61.43077087,63.99327087,69.53381348,70.01860809,70.36489105,73.204422,85.73989868,85.73989868,87.54058075,93.15037537,98.06761169,99.52200317,105.5473404,105.5473404,112.1959915,133.4578247,138.375061,141.7686462,144.8851929,266.5001221,284.2991028,307.6386414,313.3869629,317.6808777,320.5896606,337.4190674,342.821106,343.5829163,346.3531799,346.9765015,349.2619629
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1152616739,.1152616739,.1728925109,.2881541848,.4034158587,.4034158587,1.383140087,1.440770864,1.613663435,1.728925109,1.728925109,1.728925109,1.728925109,1.728925109,1.728925109,1.90181756,1.90181756,2.017079353,2.017079353,2.017079353,2.132340908,2.132340908,2.132340908,2.420495033,2.420495033,2.420495033,3.112065077,3.169695854,4.264681816,4.322312832,4.495205402,4.495205402,5.302036762,5.820714474,5.935976028,6.397022724,6.45465374,6.742807865,6.742807865,6.742807865,7.146223545,7.146223545,7.146223545,10.54644299,10.83459759,11.0651207,11.0651207,11.35327435,17.40451241,19.36396027,19.36396027,19.36396027,19.36396027,19.36396027,44.89442062,44.89442062,44.89442062,44.89442062,44.89442062,52.55932236,52.55932236,52.55932236,52.55932236,52.55932236,52.55932236,52.55932236,52.55932236,52.55932236,52.55932236,52.55932236,63.62444305,63.62444305,64.66179657,65.81441498,65.81441498,65.81441498,65.92967987,68.81121826,68.81121826,68.81121826,68.81121826,69.90620422,70.48251343,70.48251343,71.05882263,71.05882263,75.55402374,75.55402374,76.59137726,77.68636322,77.68636322,77.68636322,77.68636322,77.68636322,77.68636322,77.68636322,77.68636322,77.68636322,77.68636322,77.68636322,81.3747406,81.3747406,81.3747406,81.3747406,81.3747406,83.56471252,84.25627899,84.25627899,93.36195374,93.36195374,96.64691162,96.64691162,96.64691162,112.5530243,135.4324646,162.2308044,184.1305237,189.3172913,189.547821,219.1700745,238.0153503,258.9353333,270.9225464,294.4359436,326.5939331,333.4520264,360.9995422,370.6239014,386.0113525,392.0049438,403.6463623,416.8438416,426.5258179,437.1875305,464.7926941,484.7905884,494.1844177,505.768219,525.9390259,525.9390259,525.9390259,572.9657593,572.9657593,588.2955933,599.3607178,616.246521,624.7182617,630.7694702
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0692285597,.2076856792,.2076856792,.5365213156,.5365213156,.5365213156,.5365213156,.5365213156,.8653569818,.8653569818,1.644178271,1.644178271,1.644178271,1.644178271,1.644178271,1.644178271,1.644178271,7.095927238,7.095927238,7.095927238,7.095927238,7.095927238,7.095927238,15.6283474,15.6283474,15.6283474,15.6283474,18.2590332,18.2590332,18.2590332,25.49341774,25.49341774,25.49341774,25.49341774,25.49341774,35.87770081,35.87770081,35.87770081,41.22560883,44.11590195,44.11590195,47.52540588,47.52540588,54.56941223,54.56941223,54.56941223,68.93434143,72.2226944,75.4072113,75.4072113,82.12238312,98.23532867,105.279335,112.115654,121.2538223,126.3075104,137.7648315,154.8989105,154.8989105,174.8713379,174.8713379,192.1092529,206.2491913,220.5102692,232.7983398,248.703598,261.2166748,278.921875,290.9157104,299.2577515,316.9456482,340.6391296,368.8324585,399.5872498,419.8366089,421.6711731,451.6990356,502.0108948,545.2614746,575.4970093,605.8537598,637.7681274,666.8613892,689.9837646,727.9902344,767.2428589,777.4367065,827.7139893,870.9991455,893.1868896,924.9627686,952.6715088,984.3262939,1037.978394,1109.578003,1161.2052,1192.894653,1222.126343,1272.81897,1315.775269,1419.168213,1493.571533,1578.878418,1615.015747,1693.468994,1770.503174,1849.129517,1956.762573,2046.257813,2210.381348,2334.283203,2392.556396,2531.671143,2781.13623,2865.906738,3083.838135,3153.880127,3306.684814,3372.555908,3602.377441,3966.36377,4088.984863,4253.593262,4552.712402,4587.724609,4758.165527,4972.566406,5156.956543,5358.308105,5645.087402,5927.020508,6009.506348,6196.59668,6295.489746,6529.395508,6703.33252,6832.149414,7001.915039,7121.437988,7220.539063,7375.004883,7477.186523,7573.898926,7991.294922,8081.413086,8175.495117,8267.119141,8402.0625,8505.438477,8604.573242,8655.334961,8724.99707,8765.546875,8939.03418,9006.306641,9090.436523,9195.941406,9240.887695
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.1754466742,.1754466742,.1754466742,.3859826922,.3859826922,.3508933485,.3508933485,.3508933485,.3508933485,.3859826922,.3859826922,.45616135,.4912506938,.4912506938,.5263400078,.5965186954,.5965186954,.8070546985,.8070546985,.8070546985,.8070546985,.8070546985,.8070546985,.8070546985,.9825013876,1.36848402,1.859734774,2.772057533,3.193129539,9.509209633,9.579388618,10.10572815,11.50930214,12.17599964,12.28126717,12.49180317,13.29885769,13.54448318,14.10591221,14.63225269,15.08841419,15.15859222,17.12359619,17.68502426,18.0008297,18.80788422,18.84297371,19.36931229,20.17636681,20.73779678,20.87815475,21.72029877,22.10628128,22.52735329,23.12387085,23.68530083,24.03619385,24.35199928,24.38708687,24.38708687,24.59762383,24.98360634,25.05378532,26.00119781,26.35209084,26.73807335,27.33459282,27.3696804,27.96619987,29.22941589,29.47504044,29.79084587,30.03647041,30.24700737,30.24700737,30.24700737,30.28209686,30.28209686,31.36986542,31.51022339,31.82602692,31.93129539,32.03656387,32.10674286,32.10674286,32.87870789,33.29977798,35.40513992,35.54549789,35.54549789,36.66835403,36.91397858,37.01924896,37.12451553,37.12451553,37.40523148,38.10701752,38.24737549,38.28246307,38.49300003,38.52809143,38.84389496
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,3.251503944,5.419173241,5.419173241,8.670677185,12.46409798,12.46409798,13.00601578,16.25751877,20.05094147,20.59285736,28.17970085,31.43120384,31.97312164,34.14078903,35.76654434,38.47612762,42.81146622,45.52105331,50.39831161,55.2755661,66.65583038,69.36541748,74.78459167,86.16485596,87.79060364,89.41635895,89.95827484,108.9253769,125.7248154,134.9374084,146.8595886,161.4913635,182.0842133,206.4705048,218.3926849,265.5394897,288.8419189,304.015625,337.0725708,353.8720093,354.9558411,356.0396729,363.6265259,363.6265259,373.9229431,374.4648743,386.3870544,398.8511353,408.6056519,416.7344055,418.3601685,418.3601685,423.7793274,425.4050903,428.6565857,428.6565857,430.2823486,434.0757751,444.3721924,449.2494507,455.7524719,456.8363037,456.8363037,459.0039673,472.0099792,473.6357422,474.719574,479.0549011,482.3063965,494.2285767,494.2285767,494.7705078,499.105835,499.105835,502.8992615,516.4472046,521.866394,524.5759888,524.5759888,527.2855225,531.0789795,551.671814,567.3874512,579.3096313,600.444397,634.5852051,675.2290039,708.2859497,755.4327393,772.2321777,816.1275024,854.6035767,890.9120483,925.0528564,988.4571533,1015.55304,1030.726685,1054.571045,1085.460327,1117.975464,1135.316772,1168.373779,1206.849854,1228.526611,1284.343994,1334.200439,1379.179565,1430.661743,1523.32959,1608.410645,1663.144287,1748.22522,1825.719482,1899.420166,1958.489136,2033.815674,2099.387695,2182.301025,2237.57666,2312.361084,2418.576904,2418.576904,2418.576904,2635.343994,2703.625488,2812.550781,2812.550781,2969.706787,2969.706787,2969.706787,2969.706787,3282.935059,3282.935059,3282.935059,3474.231934,3694.250244,3772.286377,3772.286377,3772.286377,3979.298828,3979.298828,3979.298828,4416.083984,4416.083984,4609.006836,4609.006836,4762.369141,4762.369141,4762.369141,4762.369141
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,0,0,0,0,0,0,0,0,0,.0104667768,.0104667768,.0104667768,.0104667768,.0104667768,.0104667768,.0104667768,.0104667768,.0104667768,.0104667768,.0628006607,.0628006607,.0732674375,.0732674375,.0732674375,.0732674375,.0732674375,.0732674375,.0732674375,.0732674375,.146534875,.146534875,.146534875,.146534875,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1779351979,.1779351979,.1779351979,.1779351979,.1779351979,.2093355358,.2093355358,.2198023051,.2616694272,.5756726861,.6070730686,.6594069004,.7850082517,.8896760345,.9420098662,.9420098662,.9943437576,1.287413478,1.318813801,1.339747429,1.507215858,1.507215858,1.507215858,1.528149366,1.768885255,1.789818764,1.85261941,2.072421789,2.103821993,2.114288807,2.239890099,2.260823727,2.334091187,2.344558001,2.302690744,2.355024815,2.355024815,2.355024815,2.323624372,2.323624372,2.292224169,2.292224169,2.292224169,2.292224169,2.292224169,2.428292274,2.428292274,2.43875885,2.522493124,2.522493124,2.522493124,2.606227398,2.637627602,2.637627602,2.721361876,2.721361876,2.721361876,2.721361876,2.752762318,2.752762318,2.752762318,2.784162521,2.794629335,2.794629335,2.794629335,2.846963167,2.846963167,2.909763813,2.909763813,2.920230627,2.920230627,2.920230627,3.066765547,3.119099379,3.160966635,3.160966635,3.213300467,3.213300467,3.213300467,3.307501316,3.307501316,3.349368572,3.359835386,3.380768776,3.380768776,3.380768776,3.380768776,3.401702404,3.401702404,3.401702404,3.412169218,3.422636032,3.422636032,3.433102846,3.443569422,3.443569422,3.443569422,3.454036236,3.454036236,3.454036236,3.506370068,3.506370068,3.516836882,3.558704138,3.558704138,3.558704138,3.558704138,3.569170713,3.579637527,3.631971598,3.631971598,3.663371801,3.663371801,3.663371801,3.684305429,3.684305429,3.694772243,3.726172447,3.726172447,3.736639261,3.736639261,3.768039465,3.820373535,3.820373535,3.820373535,3.820373535,3.820373535,3.820373535,3.820373535,3.862240553,3.862240553,3.904107571,3.904107571,3.904107571,3.904107571,3.914574385,3.956441641,3.987841845,4.102976322,4.134376526,4.134376526,4.134376526,4.176243782,4.720516205,4.280911446,4.448379993,4.573981285,4.678648949,4.772850037,4.887984753,5.505524635,5.578792095,5.672992706,5.704393387,5.892795086,5.945128918,6.143997669,6.196331978,6.615002632,6.667336941,6.939472675
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5195669532,.5195669532,.5195669532,.5195669532,.5195669532,1.073771715,1.350874186,1.350874186,1.350874186,1.350874186,1.420149684,1.489425302,1.801165462,1.801165462,1.801165462,2.251456976,2.251456976,2.251456976,2.909574986,2.909574986,3.221315145,3.221315145,3.810157776,3.810157776,3.844795704,3.844795704,3.844795704,3.914071083,4.052622318,4.052622318,4.052622318,4.225811481,4.364362717,4.572189331,4.572189331,4.745378494,4.918567181,4.918567181,4.918567181,4.918567181,5.126394272,5.126394272,5.472772121,5.472772121,5.472772121,6.096252441,6.40799284,6.581181526,6.581181526,6.685094833,7.100748539,7.620315552,7.620315552,7.620315552,7.93205595,8.347709656,8.347709656,8.763362885,8.763362885,9.075102806,9.075102806,9.075102806,9.075102806,9.075102806,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,11.56902504,11.56902504,11.56902504,11.56902504,13.33555222,16.86860847,16.86860847,16.86860847,16.86860847,16.86860847,16.86860847,16.86860847,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,45.96435928,45.96435928,45.96435928,45.96435928,45.96435928,45.96435928,57.11772919,57.11772919,57.11772919,57.11772919,72.73937988,72.73937988,72.73937988,72.73937988,72.73937988,72.73937988,72.73937988,88.11856079,92.51755524,92.51755524,92.51755524,92.51755524,92.51755524,105.6452866,112.7460327,133.4248047,137.5813293,137.5813293,237.0610962,241.8757477,258.7789917,268.512207,281.5013733,304.6394348,337.5799866,344.9578247,353.1323547,360.9604797,360.9604797,360.9604797,385.4840698,395.0094604,402.5604858,411.3238525,420.7106934,431.9333496,431.9333496,462.6224365,462.6224365,586.4179077,682.5724487,728.8485718,740.7293091,747.4837036,753.2681885,786.2780151,816.5861206,850.7389526,880.354248,912.0132446,945.8197021,985.5492554,1037.956299,1076.542725,1108.929077,1140.657349,1182.776855,1211.353027
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1517202109,.1517202109,.2124082893,.2124082893,.2124082893,.3641285002,.7586010695,.7586010695,.7586010695,.9103212357,.9103212357,.9103212357,.9103212357,1.153073549,1.274449825,1.274449825,2.002706766,2.57924366,3.004060268,3.246812582,3.914381504,4.733670712,5.886744022,6.827409267,7.919795036,10.8328228,13.65481853,17.02300835,18.84365082,21.45323753,23.94145012,27.06688499,30.10128975,33.25706863,34.37979889,36.77697754,38.567276,40.02379227,42.63338089,45.54640579,47.85255432,50.24973297,53.86067581,56.01510239,57.07714462,60.32395554,60.99152374,62.99423218,64.81487274,65.48244476,67.15136719,68.18305969,70.21611023,70.94437408,71.97606659,73.03810883,75.61735535,76.83111572,77.83246613,79.10691833,79.9868927,80.957901,81.74684906,82.77854919,84.44747162,86.08604431,86.75361633,88.24047089,91.4569397,93.67205811,98.52710724,99.16432953,101.7739182,101.8649521,104.9600449,107.1751556,110.3612823,114.0329132,117.5528183,119.6465607,121.9527054,124.2891998,125.3512344,126.4132767,129.6600952,130.1759338,132.8158722,135.0309906,138.3688354,142.1618347,147.9878998,152.873291,159.0027771,161.7033997,166.7708588,172.4148407,177.4216156,183.0959473,189.680603,194.9604645,199.7851715,201.1203156,206.6732635,214.2289429,221.1170349,228.4906311,234.3470306,238.2614136,243.6626587,252.6748352,262.6276855,266.5117188,273.1874084,276.9500732,281.5623779,284.8395081,288.9056396,299.5563965,307.9616699,317.7628174,328.656311,336.9705811,354.2363586,364.91745,392.5608826,415.1065063,438.8962097,464.23349,480.4372253,510.9329834,547.7402954,569.9521484,585.3669434,608.6711426,637.4069214,668.8433838,697.6702271,719.2751465,778.5977783,825.7524414,844.322998,889.9300537,939.8460083,939.8460083,972.890686,999.6541138,1009.273193,1031.363647,1049.175659,1061.646973,1078.760986,1088.4104,1104.583862,1128.79834,1149.219849
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0091830874,.0153051466,.0153051466,.0153051466,.0153051466,.0183661748,.0183661748,.0183661748,.0214272048,.0214272048,.0214272048,.0214272048,.0214272048,.0214272048,.0214272048,.0214272048,.0214272048,.0214272048,.0214272048,.0244882349,.0244882349,.0367323495,.0367323495,.0367323495,.0367323495,.0520374961,.0520374961,.3214080632,.3703845441,.4499712884,.5387411714,.544863224,.544863224,1.065238237,1.10503161,2.084560871,2.660034418,3.28142333,8.157643318,17.2764492,21.50066948,25.9391613,27.5523243,29.71341133,44.85020065,53.40884018,59.93801498,66.61717987,72.11479187,77.78075409,88.12702942,95.71838379,100.9772339,133.0996704,146.2039337,159.4673767,167.4474792,179.207962,198.4771423,215.3036194,221.4011841,230.2016449,236.8195953,245.5037231,303.2837219,307.2416382,327.4934082,341.072113,354.8834839,369.5274658,471.2362671,502.054718,536.8494263,551.4505615,572.9634399,580.9558105,581.3200684,597.0109253,609.1234131,650.5728149,661.699646,712.4025269,704.9152222,745.1463623,754.2804565,767.5438843,821.5067749,833.4111328,866.8161621,885.8374023,900.897644,913.4662476,1071.773438,1105.763184,1122.5896,1160.610718,1178.196289,1198.41748,1224.384155,1244.143066,1274.799316,1361.417236,1402.658447,1419.913574,1467.022827,1484.605347,1505.126465,1533.113403,1550.00415,1587.21106,1606.596558,1633.071411,1653.849609,1675.564575,1703.787231,1719.735229,1764.175293,1786.119751,1812.713989,1833.908569,1857.172363,1890.06311,1904.36731,1959.664795,1982.16333,2008.528076,2031.182739,2053.365967,2079.381592,2097.307129,2158.646973,2205.872559,2234.532959,2393.633057,2419.449707,2737.554932,2775.628174,2828.843994,2866.580566,2918.575195,2966.477051,3009.558105,3047.487305,3080.393311,3158.79541,3211.31958,3293.306396,3338.496338,3389.183838,3436.678711,3462.394531,3551.060303,3618.19165,3706.444336,3775.07251,3861.86792,3916.32373,3972.796631,4058.324951,4148.805664,4253.070801,4328.77002,4402.25,4474.872559,4495.700195,4632.702637,4680.249512,4829.848145,4893.435059,4970.713379,5029.632324,5071.708984,5114.22998,5249.542969,5368.310547,5432.249512,5498.606445,5566.564453,5611.071777,5710.595215,5810.320313,5892.631348,5959.931152,6015.09375,6077.624512,6115.205078,6185.648438,6286.432617,6380.608398,6432.220215,6484.383301
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8864727,17.9746666,19.71414948,24.93260193,26.96199989,30.15105247,35.65942001,43.48709488,55.66348267,59.72227859,62.04159164,64.94072723,66.97013092,71.89866638,75.37763214,78.8565979,82.91539764,85.23471069,86.3943634,86.3943634,90.74307251,93.93212891,97.70101166,102.6295471,106.9782562,107.2681732,108.7177429,111.9067917,114.2261047,119.4445572,120.8941269,126.1125793,127.562149,128.1419678,129.5915527,135.6797333,140.8981934,142.6376801,146.6964722,148.7258606,149.8855286,151.625,154.2342377,158.0031128,158.5829468,160.3224335,161.7720032,163.5114746,164.9610443,167.8601837,170.4694214,172.2088928,174.8181305,178.5870056,179.1668396,182.3558807,184.9651184,188.4440765,189.6037445,197.1414948,197.7213287,198.5910645,199.7507324,200.3305511,202.3599548,205.5490112,209.0279694,210.4775391,211.6371918,213.9565125,218.5951385,219.7547913,223.8135834,226.1329041,227.2925568,228.4522095,229.6118622,232.2210846,234.8303223,235.989975,235.989975,236.279892,235.989975,236.279892,236.279892,236.279892,237.1496277,237.1496277,237.1496277,237.1496277,238.3092804,238.8891144,239.1790314,240.0487671,242.6579895,243.5277405,246.1369629,248.7461853,250.775589,252.5150757,254.5444641,256.8637695,259.7629089,259.7629089,261.7923279,262.3721313,263.5317993,265.5611877,265.8511047,267.0107727,267.3006897,268.7502441,269.3300781,270.7796631,272.5191345,274.258606,274.5485229,274.8384399,275.7081909,277.7375793,280.3468018,283.5358582,288.1744995,291.0736389,293.1030273,296.5820007,303.829834,308.7583923,312.8171692,317.4558105,322.3843384,326.1532288,332.2414246,335.4304504,337.1699524,342.0984802,342.6783142,346.1572876,347.896759,349.346344,353.4051208,356.0143433,360.0731506,362.1025391,366.4512634,369.9302368,375.4385986,379.4973755,383.2662659,386.4553223,391.9636841
