Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,3.333333254,5.666666508,10.33333302,8.666666985,8.333333015,3,11.33333302,9.333333015,11.66666698,4.666666508,7,10,7.666666508,9.333333015,4,9.333333015,5.333333492,8,3.666666746,6,4,4.333333492,4,3.333333254,2.666666746,2,2,2.666666746,3.333333254,6,4.666666508,5.333333492,5,5,10,17.33333397,17.33333397,19.33333397,10.66666698,18.33333397,11,11.66666698,4.666666508,3.666666746,2,2,1.333333373,2,4.666666508,8,7.333333492,5.333333492,7.333333492,8,9,7.666666508,11,11.33333302,7,3,11,12,27,28.66666603,53,81.66666412,94.33333588,88,65,62,79.66666412,77.66666412,67,41.33333206,49.33333206,53,71.33333588,61.66666794,97.33333588,120,147.3333282,141.6666718,108.6666641,121.3333359,96.66666412,109.3333359,105.3333359,120.3333359,113.6666641,82.33333588,55.33333206,54.66666794,61,82,136,140.3333282,147,134.3333282,144.6666718,152.3333282,132.6666718,149.6666718,171.6666718,197.3333282,254.6666718,244.6666718,250.3333282,234,255,247.6666718,235,229.3333282,298.6666565,291.3333435,314.3333435,279.6666565,320.3333435,370,390,364.3333435,301.3333435,277.3333435,321,382.3333435,393.6666565,351.6666565,345.6666565,381,430.3333435,424.3333435,426.3333435,496.3333435,588.333313,616.666687,575,547.333313,565,623.666687,667.666687,761.666687,782.333313,726.666687,665,697.666687,842,909.333313,933.5
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333373,2,2.666666746,8.333333015,14.66666698,23.66666603,21.66666603,20,18.66666603,21.33333397,17.33333397,18,19.66666603,25.33333397,28.33333397,28.66666603,23.66666603,15.33333302,11.66666698,13.66666698,16.33333397,16,16.66666603,12.33333302,9.666666985,8,16.66666603,19.33333397,23.33333397,15,2.333333254,-3.666666746,-3,4.333333492,6.333333492,5.333333492,8,8.666666985,9,8.666666985,7,7.333333492,6.666666508,15.66666698,16.33333397,19,9.666666985,8,7.666666508,7.666666508,7.333333492,4,3,6,6,9,8,9.666666985,7.666666508,5.666666508,5,4,4.333333492,5,4.666666508,3.333333254,1.666666627,1.666666627,4,4,5,6,6.666666508,11.33333302,8.333333015,11.33333302,8,9,6,4,3,1.666666627,1.666666627,2.333333254,2.666666746,5.666666508,4.333333492,3.666666746,.3333333433,.6666666865,.6666666865,.3333333433,0,.3333333433,.3333333433,.6666666865,.3333333433,.6666666865,1.333333373,3.333333254,8.666666985,9.666666985,8.666666985,8.666666985,8.333333015,11.33333302,7.333333492,7.333333492,4.333333492,4,4.666666508,5,5.333333492,4,3,2.666666746,3.333333254,6,5.666666508,6.666666508,4,3.333333254,1.333333373,3.666666746,7.333333492,12.33333302,13.33333302,11.66666698,9.333333015,9,17.33333397,21,25.66666603,23.33333397,19,17,12,14.66666698,15,13.66666698,15.33333302,13.66666698,14.33333302,9,7.333333492,7.666666508,9,8.333333015,8
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,1.333333373,1,1.666666627,1.666666627,1.333333373,14,13.66666698,14,2.666666746,3.333333254,4.666666508,3,4.666666508,4.333333492,5.333333492,4.333333492,4,4,3.666666746,4.333333492,3.333333254,2.333333254,1.333333373,1,1.333333373,.6666666865,1.666666627,1.333333373,1.333333373,.3333333433,.3333333433,.3333333433,.3333333433,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,.3333333433,1,1,.6666666865,1.333333373,1.333333373,1.333333373,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.333333373,1.333333373,.3333333433,.6666666865,1.333333373,1.333333373,1,2,2,2,2,3,5.333333492,5.333333492,5.666666508,6,4.333333492,7,5.666666508,9.333333015,10.33333302,13
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,1,1,1.333333373,.3333333433,1,1,1,.3333333433,0,0,0,.3333333433,.6666666865,.6666666865,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,.6666666865,3.666666746,10.66666698,13.33333302,17,12.66666698,12,8.666666985,13.33333302,12.66666698,12.33333302,7.333333492,13.33333302,16.66666603,17.33333397,13.33333302,14,13.33333302,17.66666603,16,19,14,12.33333302,8.666666985,5.333333492,14.33333302,18,23.33333397,36.66666794,39,37.33333206,16,15,15.33333302,15.33333302,10,15.66666698,17.66666603,23,23.66666603,26.66666603,30.66666603,25.33333397,15.66666698,18,20,32,41.33333206,47.33333206,54.66666794,41.66666794,45.33333206,43.33333206,49,51.66666794,58,68.33333588,68.33333588,59.33333206,43,56,41.33333206,46.66666794,51,80.66666412,81,73.66666412,67,67.66666412,74,76.5
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,2,2,3.333333254,1.666666627,2.666666746,5.666666508,9,9.333333015,19.33333397,26.33333397,34,49.33333206,39,57.66666794,43,53.66666794,32.66666794,39,61.66666794,73,63.66666794,90.66666412,105,131.3333282,157,154.6666718,176.6666718,141,289,322,402.6666565,687,898.333313,981,835.333313,754.333313,1295.666626,1151.666626,1318.666626,902.333313,1062,981.666687,1045.666626,945.333313,1139,1207.333374,1529.666626,1270.333374,2027,2201,2350.333252,1953,2138,2759,3089.666748,2867.666748,2984,2304.333252,2885,2963,3718,3552.666748,3399.333252,2927,2325,2348,2999.666748,3927.333252,4145.333496,4078.333252,3889.666748,3479.333252,3647.333252,3915.666748,4612,4071.666748,3911.333252,3730,4093.666748,4665.666504,5315.333496,5933.333496,6178,6588.666504,7565.666504,7251.333496,7498,4812.666504,4386.333496,3078.333252,4281.333496,4439,4098.666504,3992.666748,4102.666504,5030.666504,3684,3975.333252,4982.666504,6068,5469,3724,3798.666748,3589.666748,3476.666748,3516,3174,3157.333252,3251,3718.333252,3851.333252,3766.666748,3605.666748,3333.666748,3074.666748,3019.333252,3213,3462,3534.333252,3571.333252,3368,3399.333252,3397.666748,3581.666748,3456,3266.333252,3292.666748,3492.333252,3719,3808.333252,3821,3890,3916.333252,4001.333252,4048,4195.666504,4320,4471.666504,4624.666504,3137,1621.666626,4585.333496,6348,8240.666992,3655.333252,4162.333496,2269.666748,9389,8536,10799.33301,6258,7436.333496,7995,8125.5
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,1.333333373,1.333333373,1.666666627,.3333333433,.3333333433,.6666666865,1,1.666666627,1,1.333333373,2.333333254,3.666666746,3,3,5,6.333333492,8.333333015,6.333333492,6,4,3,3.333333254,4.333333492,9,9,9,7,6.333333492,5,3.666666746,4.666666508,4.666666508,3.333333254,6,8.666666985,9,9,13.33333302,13.66666698,10.66666698,3,2,2.333333254,1.666666627,5,5,5,1.666666627,3.666666746,3.666666746,12.66666698,31.33333397,43.66666794,43.33333206,27.33333397,20.33333397,14.66666698,15.66666698,44,83,83.66666412,53.66666794,16,9,10,7.333333492,12.66666698,10.66666698,9.666666985,17,15.66666698,16,3,5.666666508,8.666666985,9,9,7.333333492,11.66666698,13.33333302,26.66666603,28.66666603,26,16.33333397,28,30.33333397,24.66666603,6.666666508,16.33333397,19.33333397,32.33333206,22.33333397,28.33333397,22.33333397,19.66666603,19.66666603,14,14,6.333333492,11.33333302,11,18,16.33333397,18.66666603,20,49.66666794,59,96.33333588,138,186,160,93,44.33333206,37.33333206,42.66666794,41.66666794,41.33333206,35.66666794,39,42.33333206,60.66666794,78,88.66666412,103.3333359,81.33333588,84.66666412,83.33333588,120.6666641,127.6666641,143.6666718,126.3333359,97,62.66666794,93,121.6666641,135.6666718,109.3333359,110.3333359,108,115.3333359,140.6666718,219.6666718,221.3333282,206.3333282,145.6666718,128.6666718,122.3333359,138.6666718,217,218.6666718,224
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,2.666666746,3.666666746,8.666666985,9.333333015,10.66666698,9.333333015,11,14.33333302,18,22.66666603,38,68,69.33333588,48.33333206,43.33333206,71,109.6666641,114.3333359,114.3333359,105,131.6666718,93.33333588,109.3333359,98,164,161.3333282,171,142.3333282,149.3333282,180,217.3333282,241.6666718,235.3333282,216,166,113.3333359,117,181.3333282,212,174,150.3333282,149.3333282,182.6666718,233,226.6666718,239,204.3333282,227.6666718,161,199.6666718,170.3333282,233,237.3333282,186,159,144.3333282,213.6666718,223.6666718,182.3333282,183.6666718,193.3333282,182,167,165.3333282,167.3333282,161.6666718,168.3333282,162.6666718,152.6666718,139.3333282,123.6666641,130,133.3333282,200,270,305.3333435,290,267.3333435,316,361.3333435,430,444,435.3333435,359,382,402.3333435,456,465,460.3333435,463.6666565,409.6666565,488,577.333313,659.333313,723.333313,944,737,634.333313,393,643,770.666687,875,893,826,697.333313,666.666687,761.666687,863.666687,876,883,960,964,925.666687,817.333313,815,840,970.666687,1113,1102.666626,1034,960.666687,988.666687,1027,1139,1305.333374,1254.666626,1203.333374,1066.666626,1104,1006,1031.666626,1006,964,812.666687,797,946.666687,986,1159.666626,1149.666626,1119.666626,991,916.333313,1011,1038,1087.333374,1066.666626,1013.666687,926,987.333313,1045.333374,1164.5
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,0,0,0,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,.3333333433,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.6666666865,.6666666865,.6666666865,.3333333433,0,0,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.6666666865,.6666666865,.6666666865,.3333333433,0,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,0,0,0,3,3,3,0,0,0,0,76.33333588,76.33333588,84.66666412,8.333333015,8.333333015,0,0,160,160,160,0,0,0,0,119.6666641,119.6666641,119.6666641,0,0,0,0,115.3333359,115.3333359,115.3333359,0,0,0,0,119.6666641,119.6666641,119.6666641,0,0,0,0,115.6666641,115.6666641,115.6666641,0,0,0,0,116.3333359,116.3333359,116.3333359,0,0,0,0,109,109,109,0,0,0,0,100.3333359,100.3333359,100.3333359,0,0,0,0,97.33333588,97.33333588,97.33333588,0,0,0,0,77.66666412,77.66666412,77.66666412,0,0,0,0,76.66666412,76.66666412,76.66666412,0,0
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,1.333333373,1.666666627,1.333333373,.3333333433,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,.3333333433,1.666666627,6.333333492,11,13.66666698,18.66666603,17.33333397,21.66666603,27.33333397,36.66666794,44.33333206,50.66666794,54.66666794,51.33333206,53,72.66666412,104,124.3333359,136,125.6666641,122.3333359,128.3333282,138.6666718,157.6666718,170.6666718,211,250.3333282,298.3333435,346,334,353,346,406.6666565,390,393.3333435,395.3333435,427.6666565,492,550,654.666687,632.333313,668,761,953.666687,1123.666626,1099.333374,1014.666687,885.666687,970,1040.666626,1231.666626,1329,1429.666626,1415.666626,1388.666626,1312.333374,1387.666626,1570.333374,1832.333374,1942,1802,1601.666626,1621.333374,1721.333374,2089.333252,2236,2319.333252,2208,2200.333252,2400.666748,2458.333252,2644.666748,2727,3087.333252,3017.666748,2859.333252,2901.333252,3134.333252,3431.666748,3355.666748,3163,3088,2936,3271.333252,3524.666748,4081.666748,4233.333496,4127,3807.666748,3358.666748,3560.666748,4027,4624,4965,4502,4287.666504,3689.333252,4057.666748,4318.666504,5063.666504,5207.333496,5136.333496,5030,4879,5402.666504,5434,5943,5660.666504,5318.333496,4633.666504,4088.333252,4429,4972.666504,5951.333496,6387.333496,6798.333496,6112.333496,5499.666504,5281,6051.666504,6844.333496,7055.333496,6755,5822.333496,5087,5406,5961.666504,6535.333496,6604,7092.666504,6727.666504,6032.666504,5780.666504,6016.666504,7105.333496,7343.333496,7587.333496,6601.333496,5734.666504,5887,5977.666504,6896.666504,7313.333496,8581.333008,7622.333496,6392,5256,5684.666504,6292.333496,6482,6653.5
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/jm/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.6666666865,2.666666746,2.333333254,2.666666746,.6666666865,1.333333373,1,1.666666627,1.333333373,1,1.333333373,1,1.666666627,2.333333254,2.333333254,1.666666627,1.333333373,2,3.333333254,2,4,3.666666746,3.666666746,3,3.666666746,3.666666746,3.333333254,1.666666627,1.666666627,0,.6666666865,2,3.333333254,2.666666746,18.66666603,23.33333397,23.33333397,12.66666698,10,26.66666603,20,20,11.33333302,21.66666603,24,31,25.33333397,19.66666603,15.33333302,19.33333397,22.66666603,22.33333397,15.66666698,13,3.333333254,3,5.666666508,5.666666508,4,4.666666508,5,5.666666508,2.333333254,1.333333373,1.333333373,2.666666746,3.666666746,3,1,3,4.666666508,8,7,6,4,4.666666508,5.666666508,4.333333492,3.666666746,4,5.666666508,4.333333492,3,1.666666627,1,1.666666627,1.666666627,2.333333254,1.333333373,3,2.333333254,4,3,3.333333254,2,2.333333254,2,3,5.666666508,10.33333302,10.33333302,7,4.333333492,4.333333492,6.333333492,6.333333492,5.333333492,4,4,4,4,3.666666746,5.666666508,6.333333492,7,5.666666508,5.333333492,5.666666508,6.333333492,5.333333492,2.666666746,2.333333254,1.666666627,2,1.333333373,1.666666627,2,2,3.666666746,8.333333015,13.66666698,12,8.666666985,4,7,7,7,7.333333492,6,4.666666508,3.666666746,7.666666508,9,10,9,12.33333302,11.33333302,17.66666603,22.33333397,29.5
